wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,assistsat15,assists
63,1.8069,11,0.3155,22,87,2.4952,0,7
66,1.8929,10,0.2868,18,106,3.0402,1,10
74,1.9491,7,0.1844,25,91,2.3968,0,1
63,1.6594,6,0.158,18,84,2.2125,0,9
38,1.3043,5,0.1716,13,48,1.6476,1,3
38,1.3043,5,0.1716,13,61,2.0938,1,11
31,1.2229,3,0.1183,10,55,2.1696,1,8
25,0.9862,6,0.2367,8,38,1.499,0,2
17,0.5113,13,0.391,10,33,0.9925,0,1
59,1.7744,19,0.5714,16,100,3.0075,0,6
13,0.4019,9,0.2782,9,35,1.0819,1,8
63,1.9474,9,0.2782,17,77,2.3802,5,6
61,1.8693,12,0.3677,24,96,2.9418,0,0
58,1.7773,10,0.3064,19,79,2.4208,1,7
12,0.3477,18,0.5215,7,49,1.4196,0,5
66,1.9121,10,0.2897,29,82,2.3757,0,5
51,1.5557,13,0.3965,18,81,2.4708,0,8
53,1.6167,13,0.3965,21,83,2.5318,4,6
69,1.8557,28,0.753,20,139,3.7382,0,5
81,2.1784,14,0.3765,27,92,2.4742,5,9
36,1.4257,9,0.3564,10,69,2.7327,1,3
40,1.5842,10,0.396,16,66,2.6139,0,4
53,1.6249,4,0.1226,15,74,2.2688,3,15
56,1.7169,10,0.3066,21,90,2.7593,3,4
42,1.4524,9,0.3112,16,68,2.3516,2,2
38,1.3141,8,0.2767,11,69,2.3862,8,17
90,1.9934,28,0.6202,29,132,2.9236,1,9
66,1.4618,12,0.2658,24,96,2.1262,1,8
52,1.6578,16,0.5101,18,85,2.7099,1,9
50,1.594,13,0.4145,18,86,2.7418,3,16
41,1.4669,11,0.3936,13,60,2.1467,2,15
43,1.5385,23,0.8229,17,78,2.7907,1,4
64,2.1585,22,0.742,24,103,3.4739,0,2
23,0.7757,7,0.2361,13,34,1.1467,4,12
47,1.5178,11,0.3552,13,82,2.648,0,3
46,1.4855,11,0.3552,12,79,2.5511,0,8
65,1.6203,15,0.3739,19,128,3.1907,0,6
83,2.069,21,0.5235,24,123,3.0661,0,1
49,1.5449,14,0.4414,11,90,2.8376,0,3
48,1.5134,8,0.2522,12,86,2.7115,1,1
64,1.5907,20,0.4971,16,122,3.0323,2,11
71,1.7647,22,0.5468,20,148,3.6785,3,5
32,1.1368,13,0.4618,6,79,2.8064,2,12
36,1.2789,5,0.1776,8,55,1.9538,0,1
30,1.2465,3,0.1247,12,44,1.8283,2,5
31,1.2881,9,0.374,13,64,2.6593,7,10
60,1.7094,4,0.114,21,75,2.1368,1,8
58,1.6524,12,0.3419,24,92,2.6211,0,6
55,1.5835,8,0.2303,22,80,2.3033,0,6
51,1.4683,11,0.3167,18,80,2.3033,3,11
24,0.5983,13,0.3241,17,33,0.8226,3,12
77,1.9194,21,0.5235,27,119,2.9663,2,3
39,1.351,10,0.3464,17,59,2.0439,2,3
43,1.4896,6,0.2079,17,52,1.8014,0,7
77,2.0433,36,0.9553,25,142,3.7682,1,11
63,1.6718,11,0.2919,20,92,2.4414,0,1
61,1.5143,21,0.5213,17,115,2.8548,8,10
77,1.9115,18,0.4468,25,110,2.7307,2,7
81,1.9526,20,0.4821,28,153,3.6882,1,8
83,2.0008,3,0.0723,27,93,2.2419,0,12
12,0.45,1,0.0375,10,19,0.7125,0,3
40,1.5,6,0.225,14,69,2.5875,3,17
60,1.8173,6,0.1817,15,79,2.3927,1,5
47,1.4235,10,0.3029,15,71,2.1504,3,11
64,1.7919,13,0.364,15,92,2.5758,0,7
52,1.4559,9,0.252,21,74,2.0719,1,4
59,1.7068,14,0.405,8,88,2.5458,0,2
52,1.5043,4,0.1157,17,70,2.0251,3,13
47,1.5145,10,0.3222,13,78,2.5134,0,7
45,1.4501,10,0.3222,16,77,2.4812,0,1
53,1.6216,13,0.3978,18,80,2.4477,0,10
47,1.438,14,0.4284,16,95,2.9067,0,11
35,1.0053,10,0.2872,15,68,1.9531,1,8
55,1.5797,14,0.4021,21,96,2.7573,4,17
47,1.4952,6,0.1909,17,83,2.6405,4,17
55,1.7497,13,0.4136,19,85,2.7041,1,3
36,1.2834,7,0.2496,11,61,2.1747,1,3
39,1.3904,7,0.2496,13,73,2.6025,3,14
84,2.1266,15,0.3797,27,123,3.1139,2,7
21,0.5316,15,0.3797,9,53,1.3418,0,2
11,0.4638,2,0.0843,10,17,0.7168,1,1
34,1.4336,8,0.3373,12,65,2.7407,2,9
44,1.5287,17,0.5906,18,90,3.1268,0,3
59,2.0498,14,0.4864,22,76,2.6404,1,11
51,1.674,9,0.2954,17,77,2.5274,1,8
45,1.477,15,0.4923,20,88,2.8884,0,2
57,1.825,26,0.8324,25,89,2.8495,1,10
50,1.6009,20,0.6403,21,91,2.9136,0,1
57,1.7711,26,0.8079,14,94,2.9208,0,0
93,2.8897,24,0.7457,17,145,4.5054,3,9
97,2.4914,26,0.6678,22,148,3.8014,2,13
79,2.0291,22,0.5651,30,96,2.4658,1,9
54,1.6736,14,0.4339,15,72,2.2314,0,0
53,1.6426,10,0.3099,16,91,2.8202,1,9
60,1.757,27,0.7906,21,114,3.3382,1,7
57,1.6691,17,0.4978,21,95,2.7818,0,2
45,1.4967,11,0.3659,15,71,2.3614,5,12
54,1.796,16,0.5322,22,68,2.2616,3,5
48,1.7297,20,0.7207,19,94,3.3874,1,4
52,1.8739,8,0.2883,19,69,2.4865,0,2
35,1.4094,4,0.1611,13,50,2.0134,1,2
31,1.2483,2,0.0805,12,56,2.255,1,6
81,1.9926,11,0.2706,29,100,2.46,2,7
74,1.8204,5,0.123,23,82,2.0172,2,11
27,0.3843,20,0.2846,25,72,1.0247,0,5
172,2.4478,33,0.4696,49,245,3.4867,1,13
70,1.8962,14,0.3792,22,89,2.4108,0,9
69,1.8691,18,0.4876,20,111,3.0068,1,9
41,1.3851,16,0.5405,16,87,2.9392,3,17
43,1.4527,13,0.4392,14,80,2.7027,1,7
55,1.6385,10,0.2979,16,87,2.5919,1,4
51,1.5194,17,0.5065,17,102,3.0387,2,13
60,1.8809,19,0.5956,22,86,2.6959,1,2
50,1.5674,16,0.5016,16,91,2.8527,2,13
39,1.482,19,0.722,13,97,3.6859,3,12
48,1.8239,13,0.494,17,70,2.6599,3,4
36,1.3075,3,0.109,9,54,1.9613,1,11
30,1.0896,6,0.2179,10,48,1.7433,0,0
57,1.4051,7,0.1726,20,96,2.3665,0,5
74,1.8242,6,0.1479,22,97,2.3911,0,11
38,1.4349,18,0.6797,11,68,2.5677,1,1
36,1.3593,8,0.3021,13,53,2.0013,7,17
64,1.8277,14,0.3998,20,99,2.8272,0,1
61,1.742,14,0.3998,21,103,2.9415,0,5
54,1.7062,10,0.316,11,79,2.4961,2,2
46,1.4534,7,0.2212,15,72,2.2749,5,12
75,1.7013,18,0.4083,23,137,3.1078,0,4
96,2.1777,18,0.4083,31,133,3.017,3,10
75,1.7013,18,0.4083,23,137,3.1078,0,4
96,2.1777,18,0.4083,31,133,3.017,3,10
24,0.7822,5,0.163,15,38,1.2385,3,13
48,1.5644,19,0.6192,19,99,3.2265,1,1
53,1.7283,24,0.7826,20,113,3.6848,1,6
58,1.8913,19,0.6196,25,89,2.9022,1,2
16,0.5031,3,0.0943,8,23,0.7233,3,4
49,1.5409,7,0.2201,17,76,2.3899,4,16
69,1.9981,10,0.2896,26,90,2.6062,3,11
22,0.6371,4,0.1158,13,38,1.1004,1,4
59,1.6714,9,0.255,24,95,2.6912,3,7
74,2.0963,7,0.1983,29,93,2.6346,1,3
48,1.5492,10,0.3228,22,77,2.4852,0,6
55,1.7751,7,0.2259,23,83,2.6789,1,13
46,1.5532,7,0.2364,18,71,2.3973,1,1
51,1.722,13,0.4389,16,84,2.8362,1,5
64,1.8028,13,0.3662,21,98,2.7606,0,6
60,1.6901,19,0.5352,18,83,2.338,0,9
54,1.6607,7,0.2153,21,79,2.4295,0,3
50,1.5377,10,0.3075,18,82,2.5218,1,7
53,1.7254,20,0.6511,13,115,3.7439,3,9
56,1.8231,10,0.3256,17,77,2.5068,1,1
46,1.6302,8,0.2835,17,71,2.5162,2,5
45,1.5948,6,0.2126,17,68,2.4099,7,14
55,1.4732,19,0.5089,14,102,2.7321,0,9
74,1.9821,14,0.375,27,103,2.7589,0,10
34,1.292,15,0.57,14,74,2.8119,1,9
45,1.7099,16,0.608,16,65,2.4699,2,2
64,1.8011,9,0.2533,17,81,2.2795,2,20
48,1.3508,9,0.2533,17,85,2.3921,3,7
44,1.5856,4,0.1441,14,55,1.982,2,3
39,1.4054,8,0.2883,12,77,2.7748,1,9
72,2.6536,19,0.7002,13,119,4.3857,3,12
12,0.4423,3,0.1106,6,21,0.774,0,1
61,1.8808,15,0.4625,17,98,3.0216,1,4
52,1.6033,14,0.4317,18,85,2.6208,0,1
73,1.9227,12,0.3161,27,106,2.7919,1,3
68,1.791,24,0.6321,26,118,3.108,0,9
24,0.7358,12,0.3679,16,47,1.441,3,11
65,1.9928,15,0.4599,23,99,3.0353,0,3
88,1.9746,29,0.6507,29,154,3.4555,1,10
85,1.9073,12,0.2693,26,109,2.4458,1,7
73,1.7856,14,0.3424,21,116,2.8373,0,5
88,2.1525,7,0.1712,32,83,2.0302,0,1
53,1.6191,4,0.1222,23,61,1.8635,2,2
64,1.9552,15,0.4582,20,103,3.1466,0,2
59,1.8172,22,0.6776,21,112,3.4497,0,4
51,1.5708,14,0.4312,15,82,2.5257,0,1
67,1.9716,10,0.2943,22,100,2.9426,1,2
56,1.6479,18,0.5297,17,108,3.178,4,15
56,1.7712,10,0.3163,20,90,2.8466,0,17
52,1.6447,15,0.4744,17,89,2.815,2,5
41,1.2088,5,0.1474,14,68,2.0049,1,5
55,1.6216,20,0.5897,15,109,3.2138,2,7
59,1.7277,11,0.3221,15,102,2.9868,4,12
15,0.4392,4,0.1171,10,30,0.8785,0,2
89,1.8047,27,0.5475,23,152,3.0821,1,4
135,2.7374,32,0.6489,30,213,4.319,3,13
55,1.6993,10,0.309,19,81,2.5026,0,4
57,1.7611,14,0.4325,20,93,2.8733,1,4
67,1.7632,21,0.5526,20,115,3.0263,5,9
70,1.8421,6,0.1579,27,85,2.2368,3,10
70,2.0378,11,0.3202,26,98,2.853,2,3
67,1.9505,24,0.6987,23,122,3.5517,0,10
61,1.8769,11,0.3385,23,87,2.6769,1,4
59,1.8154,21,0.6462,20,105,3.2308,3,12
91,2.6351,18,0.5212,22,140,4.0541,6,11
64,1.8533,21,0.6081,18,103,2.9826,0,5
53,1.8839,9,0.3199,16,89,3.1635,0,1
48,1.7062,22,0.782,18,95,3.3768,1,5
63,1.5549,13,0.3209,26,107,2.6409,0,6
70,1.7277,13,0.3209,23,106,2.6162,1,9
52,1.6378,11,0.3465,20,75,2.3622,0,0
46,1.4488,17,0.5354,17,85,2.6772,0,4
44,1.4949,15,0.5096,15,80,2.718,2,17
43,1.4609,9,0.3058,19,77,2.6161,3,9
46,1.6507,9,0.323,14,69,2.4761,1,6
47,1.6866,8,0.2871,19,62,2.2249,1,1
51,1.7076,17,0.5692,19,90,3.0134,2,6
52,1.7411,19,0.6362,21,89,2.9799,1,4
65,1.9422,18,0.5378,21,105,3.1375,6,13
64,1.9124,13,0.3884,22,88,2.6295,1,2
59,1.8361,15,0.4668,23,92,2.8631,0,5
53,1.6494,16,0.4979,20,80,2.4896,1,2
50,1.7391,15,0.5217,22,73,2.5391,1,9
43,1.4957,7,0.2435,14,56,1.9478,1,1
69,1.8956,18,0.4945,25,88,2.4176,0,2
65,1.7857,19,0.522,22,102,2.8022,1,10
45,1.6718,4,0.1486,16,61,2.2663,3,9
45,1.6718,6,0.2229,14,66,2.452,1,1
103,2.0914,17,0.3452,30,150,3.0457,3,15
118,2.3959,8,0.1624,40,137,2.7817,2,11
45,1.5341,16,0.5455,15,98,3.3409,0,10
47,1.6023,9,0.3068,19,68,2.3182,0,0
74,1.7838,15,0.3616,25,125,3.0133,0,8
77,1.8562,20,0.4821,29,126,3.0374,2,8
54,1.6208,12,0.3602,18,87,2.6113,0,7
53,1.5908,16,0.4802,23,91,2.7314,3,15
54,1.6257,17,0.5118,23,90,2.7095,6,9
64,1.9267,22,0.6623,25,116,3.4922,1,11
33,1.1218,12,0.4079,13,51,1.7337,1,1
50,1.6997,19,0.6459,19,88,2.9915,1,5
56,1.7731,12,0.3799,18,91,2.8813,1,8
52,1.6464,18,0.5699,19,87,2.7546,0,8
47,1.6105,12,0.4112,16,80,2.7413,1,4
46,1.5762,11,0.3769,14,77,2.6385,4,20
49,1.5764,18,0.5791,11,89,2.8633,0,9
63,2.0268,4,0.1287,24,76,2.445,1,2
50,1.7045,8,0.2727,19,74,2.5227,2,5
45,1.5341,4,0.1364,10,63,2.1477,4,17
31,1.2425,7,0.2806,12,66,2.6453,2,4
39,1.5631,13,0.521,15,70,2.8056,4,10
41,1.5679,12,0.4589,12,79,3.021,1,2
49,1.8738,8,0.3059,18,69,2.6386,0,10
87,2.1535,21,0.5198,32,132,3.2673,4,10
85,2.104,14,0.3465,22,131,3.2426,5,20
51,1.5323,24,0.7211,15,103,3.0946,3,12
65,1.9529,17,0.5108,20,101,3.0346,3,7
61,1.7854,18,0.5268,22,103,3.0146,2,6
62,1.8146,11,0.322,15,108,3.161,2,15
55,1.7028,20,0.6192,17,106,3.2817,0,9
58,1.7957,20,0.6192,17,99,3.065,0,1
53,1.7825,10,0.3363,19,81,2.7242,2,7
47,1.5807,16,0.5381,17,85,2.8587,1,9
64,1.9258,21,0.6319,20,118,3.5507,0,4
67,2.016,25,0.7523,21,123,3.7011,1,8
63,1.8252,15,0.4346,23,96,2.7813,4,10
58,1.6803,20,0.5794,20,108,3.1289,7,16
41,1.4001,2,0.0683,15,61,2.0831,2,10
49,1.6733,17,0.5805,18,70,2.3904,0,4
82,1.8887,19,0.4376,30,125,2.8791,1,19
77,1.7735,18,0.4146,27,126,2.9021,3,10
38,1.3776,10,0.3625,15,62,2.2477,2,17
43,1.5589,24,0.8701,17,80,2.9003,0,3
62,1.9641,12,0.3801,24,75,2.3759,1,4
57,1.8057,18,0.5702,19,89,2.8194,0,11
121,2.5483,6,0.1264,45,143,3.0116,5,15
104,2.1902,22,0.4633,31,148,3.1169,0,3
53,2.216,11,0.4599,15,90,3.7631,5,6
37,1.547,12,0.5017,13,55,2.2997,1,1
45,1.4493,15,0.4831,15,94,3.0274,4,16
47,1.5137,12,0.3865,20,74,2.3833,1,5
43,1.3011,19,0.5749,18,83,2.5113,0,5
63,1.9062,15,0.4539,21,89,2.6929,0,6
68,1.9672,17,0.4918,19,98,2.8351,3,12
61,1.7647,8,0.2314,24,84,2.4301,4,4
54,1.5436,0,0,11,77,2.201,3,12
67,1.9152,12,0.343,24,103,2.9443,3,3
36,1.501,17,0.7088,12,74,3.0855,4,19
26,1.0841,9,0.3753,9,46,1.918,3,4
51,1.588,23,0.7161,22,100,3.1136,5,13
54,1.6814,7,0.218,21,73,2.273,1,1
65,1.7473,16,0.4301,23,115,3.0914,2,20
91,2.4462,16,0.4301,34,112,3.0108,2,8
54,1.7429,21,0.6778,21,94,3.0339,2,11
67,2.1625,5,0.1614,22,69,2.227,0,2
72,2.5562,13,0.4615,21,90,3.1953,2,7
43,1.5266,5,0.1775,8,55,1.9527,3,4
74,1.7203,23,0.5347,24,137,3.1848,2,9
91,2.1155,14,0.3255,30,115,2.6734,0,1
97,2.3206,5,0.1196,36,116,2.7751,3,13
64,1.5311,11,0.2632,23,104,2.488,1,3
51,1.6055,18,0.5666,16,90,2.8332,3,3
47,1.4795,12,0.3778,14,80,2.5184,4,10
44,1.4798,19,0.639,20,89,2.9933,0,2
44,1.4798,10,0.3363,14,75,2.5224,5,20
61,1.6835,33,0.9108,21,112,3.0911,0,8
68,1.8767,19,0.5244,17,103,2.8427,1,6
78,1.9697,12,0.303,24,108,2.7273,0,7
88,2.2222,18,0.4545,24,115,2.904,0,6
63,2.0128,26,0.8307,17,103,3.2907,1,8
64,2.0447,10,0.3195,22,83,2.6518,3,7
29,1.3063,10,0.4505,10,55,2.4775,6,18
21,0.9459,6,0.2703,8,41,1.8468,1,1
30,1.25,6,0.25,10,41,1.7083,2,3
27,1.125,8,0.3333,10,53,2.2083,3,13
61,1.9033,6,0.1872,21,79,2.4649,0,0
62,1.9345,16,0.4992,21,107,3.3385,0,10
70,2.4306,22,0.7639,18,114,3.9583,3,11
54,1.875,4,0.1389,18,74,2.5694,1,3
54,1.7783,12,0.3952,23,83,2.7333,0,7
64,2.1076,6,0.1976,23,76,2.5027,1,7
53,1.4846,24,0.6723,15,105,2.9412,1,4
63,1.7647,14,0.3922,23,98,2.7451,1,1
51,1.3834,10,0.2712,16,84,2.2785,0,2
57,1.5461,9,0.2441,20,76,2.0615,2,7
87,1.877,19,0.4099,33,134,2.891,4,11
94,2.028,23,0.4962,34,142,3.0636,1,13
69,1.77,10,0.2565,18,103,2.6422,1,12
63,1.6161,13,0.3335,27,94,2.4113,0,6
75,1.8734,20,0.4996,24,138,3.4471,2,9
66,1.6486,11,0.2748,23,97,2.423,1,5
68,1.7406,15,0.384,20,114,2.9181,1,5
87,2.227,23,0.5887,27,119,3.0461,0,2
55,1.5881,17,0.4909,18,98,2.8296,0,9
65,1.8768,12,0.3465,19,90,2.5987,0,5
90,2.0052,26,0.5793,29,160,3.5648,3,10
81,1.8047,22,0.4902,27,128,2.8518,3,7
61,1.8607,9,0.2745,18,87,2.6538,1,4
57,1.7387,11,0.3355,18,89,2.7148,4,18
55,1.6051,9,0.2626,19,90,2.6265,1,4
49,1.43,14,0.4086,15,101,2.9475,1,2
37,1.2937,13,0.4545,13,68,2.3776,1,9
40,1.3986,4,0.1399,15,55,1.9231,4,7
62,1.8164,13,0.3809,21,101,2.959,0,0
64,1.875,12,0.3516,16,104,3.0469,2,9
71,1.8236,20,0.5137,22,139,3.5702,1,11
75,1.9264,20,0.5137,21,126,3.2363,5,9
126,2.2067,30,0.5254,25,222,3.8879,1,9
127,2.2242,13,0.2277,47,157,2.7496,2,9
32,1.2167,7,0.2662,13,54,2.0532,1,2
41,1.5589,10,0.3802,14,72,2.7376,5,12
57,1.6691,10,0.2928,16,93,2.7233,3,7
55,1.6105,19,0.5564,19,102,2.9868,1,8
46,1.6687,11,0.399,16,60,2.1765,2,6
46,1.6687,6,0.2177,17,64,2.3216,2,5
57,1.8357,24,0.7729,16,99,3.1884,1,13
54,1.7391,11,0.3543,20,66,2.1256,5,5
63,2.0656,7,0.2295,23,70,2.2951,0,6
54,1.7705,26,0.8525,18,86,2.8197,0,2
58,1.6571,15,0.4286,19,89,2.5429,3,9
59,1.6857,11,0.3143,22,91,2.6,2,4
89,1.899,27,0.5761,31,163,3.478,0,2
94,2.0057,26,0.5548,30,152,3.2432,0,7
45,1.3875,10,0.3083,17,76,2.3433,5,11
55,1.6958,18,0.555,18,90,2.7749,7,21
54,1.7734,14,0.4598,15,90,2.9557,0,6
42,1.3793,17,0.5583,13,85,2.7915,0,3
62,1.791,15,0.4333,17,95,2.7443,0,2
63,1.8199,8,0.2311,21,88,2.5421,2,14
57,1.5877,22,0.6128,20,113,3.1476,1,5
80,2.2284,21,0.585,22,124,3.454,1,9
43,1.4068,22,0.7197,13,100,3.2715,1,15
53,1.7339,9,0.2944,18,73,2.3882,0,5
40,1.3636,8,0.2727,18,59,2.0114,0,1
46,1.5682,29,0.9886,14,107,3.6477,2,11
41,1.382,11,0.3708,13,78,2.6292,2,5
66,2.2247,14,0.4719,12,103,3.4719,3,11
58,1.8422,12,0.3812,22,78,2.4775,1,6
47,1.4929,12,0.3812,15,76,2.414,1,10
56,1.635,22,0.6423,20,108,3.1533,2,12
50,1.4599,8,0.2336,16,79,2.3066,0,3
56,1.7482,9,0.281,21,93,2.9032,3,6
58,1.8106,8,0.2497,19,83,2.5911,0,6
71,1.6621,15,0.3512,21,129,3.0199,5,9
87,2.0367,6,0.1405,34,102,2.3878,1,6
56,1.5252,5,0.1362,20,80,2.1788,0,12
54,1.4707,8,0.2179,17,87,2.3695,2,8
41,1.557,7,0.2658,15,66,2.5063,1,4
32,1.2152,10,0.3797,10,64,2.4304,5,14
75,2.0464,16,0.4366,30,104,2.8377,1,10
68,1.8554,24,0.6548,23,130,3.5471,0,4
58,1.859,16,0.5128,18,96,3.0769,3,9
68,2.1795,7,0.2244,25,91,2.9167,2,5
52,1.7031,12,0.393,19,87,2.8493,3,15
52,1.7031,10,0.3275,17,87,2.8493,0,2
58,1.7487,14,0.4221,15,91,2.7437,2,4
52,1.5678,16,0.4824,20,87,2.6231,0,8
78,2.1167,7,0.19,23,93,2.5237,1,8
45,1.2212,15,0.4071,18,97,2.6323,0,12
45,1.6206,15,0.5402,18,78,2.8091,0,5
44,1.5846,17,0.6122,13,83,2.9892,0,4
69,1.7876,27,0.6995,22,125,3.2383,1,12
81,2.0984,14,0.3627,28,95,2.4611,0,4
62,1.9116,15,0.4625,25,94,2.8983,1,6
67,2.0658,14,0.4317,23,104,3.2066,0,6
80,2.9091,28,1.0182,15,112,4.0727,2,9
67,2.4364,21,0.7636,18,95,3.4545,1,1
122,2.5285,29,0.601,28,190,3.9378,1,4
127,2.6321,24,0.4974,33,161,3.3368,0,12
66,2.004,3,0.0911,24,78,2.3684,0,9
62,1.8826,16,0.4858,20,102,3.0972,2,7
63,1.6822,15,0.4005,19,108,2.8838,3,3
94,2.51,26,0.6943,31,124,3.3111,0,5
53,1.454,9,0.2469,21,79,2.1674,2,4
52,1.4266,7,0.192,20,79,2.1674,0,10
46,1.6084,10,0.3497,16,74,2.5874,3,4
45,1.5734,17,0.5944,16,90,3.1469,7,16
70,1.9934,11,0.3132,28,96,2.7337,1,4
67,1.9079,23,0.655,21,121,3.4457,0,3
78,2.0644,20,0.5293,23,116,3.0701,0,1
65,1.7203,28,0.7411,18,136,3.5995,1,8
62,1.9009,16,0.4905,23,103,3.1579,0,3
52,1.5943,17,0.5212,18,93,2.8513,1,8
39,1.4662,9,0.3383,11,70,2.6316,1,6
39,1.4662,8,0.3008,16,58,2.1805,1,1
64,1.7986,22,0.6183,21,121,3.4005,3,16
61,1.7143,14,0.3934,17,85,2.3888,1,1
99,2.2917,29,0.6713,33,142,3.287,0,12
82,1.8981,21,0.4861,24,135,3.125,3,6
54,1.5269,17,0.4807,17,91,2.573,2,5
69,1.951,8,0.2262,21,93,2.6296,2,9
44,1.5068,14,0.4795,17,71,2.4315,0,2
58,1.9863,16,0.5479,16,79,2.7055,3,15
63,2.0861,9,0.298,12,95,3.1457,0,8
49,1.6225,13,0.4305,16,86,2.8477,1,4
52,1.7788,13,0.4447,15,83,2.8392,1,12
53,1.813,11,0.3763,18,87,2.9761,2,4
81,1.8564,12,0.275,28,128,2.9335,0,4
79,1.8105,15,0.3438,20,116,2.6585,1,6
45,1.6667,12,0.4444,14,74,2.7407,2,3
41,1.5185,15,0.5556,13,75,2.7778,1,6
56,1.5887,12,0.3404,18,95,2.695,0,8
52,1.4752,22,0.6241,18,109,3.0922,0,3
59,1.5547,12,0.3162,18,98,2.5823,0,15
90,2.3715,23,0.6061,34,113,2.9776,0,4
81,2.2061,15,0.4085,30,115,3.1321,0,2
69,1.8793,10,0.2724,22,115,3.1321,0,9
83,1.9146,14,0.323,28,129,2.9758,2,7
88,2.03,10,0.2307,26,109,2.5144,0,6
62,1.8807,11,0.3337,20,93,2.821,3,9
57,1.729,11,0.3337,16,83,2.5177,0,3
65,1.9071,18,0.5281,23,102,2.9927,1,5
51,1.4963,13,0.3814,15,94,2.7579,3,13
69,2.0354,22,0.649,18,106,3.1268,1,13
51,1.5044,16,0.472,17,88,2.5959,0,4
44,1.6137,12,0.4401,18,72,2.6406,5,14
37,1.357,5,0.1834,14,58,2.1271,1,5
54,1.7017,12,0.3782,21,84,2.6471,0,2
61,1.9223,10,0.3151,19,97,3.0567,4,13
49,1.8238,12,0.4467,18,74,2.7543,7,14
37,1.3772,12,0.4467,13,61,2.2705,2,3
106,2.1818,24,0.494,37,148,3.0463,0,2
113,2.3259,12,0.247,40,137,2.8199,5,12
62,1.6909,11,0.3,22,97,2.6455,0,8
74,2.0182,7,0.1909,25,101,2.7545,0,4
65,1.8031,19,0.527,19,110,3.0513,6,16
68,1.8863,9,0.2497,24,95,2.6352,2,7
56,1.9244,15,0.5155,15,83,2.8522,1,2
45,1.5464,24,0.8247,13,97,3.3333,0,12
77,2.169,11,0.3099,28,97,2.7324,2,15
54,1.5211,14,0.3944,11,91,2.5634,8,21
53,1.6443,14,0.4343,20,88,2.7301,3,11
60,1.8614,13,0.4033,21,91,2.8232,0,4
69,1.8742,11,0.2988,22,96,2.6075,2,10
77,2.0914,5,0.1358,23,102,2.7705,2,5
121,2.3579,8,0.1559,41,150,2.923,1,13
111,2.163,15,0.2923,34,131,2.5528,2,5
124,3.1353,20,0.5057,26,173,4.3742,0,9
80,2.0228,21,0.531,28,96,2.4273,0,12
66,1.6583,16,0.402,18,118,2.9648,2,15
86,2.1608,17,0.4271,32,117,2.9397,2,9
64,1.8497,31,0.896,17,143,4.1329,2,10
70,2.0231,7,0.2023,24,85,2.4566,3,5
23,1.0815,3,0.1411,8,43,2.0219,1,10
30,1.4107,8,0.3762,9,53,2.4922,1,4
77,2.0579,25,0.6682,30,106,2.833,2,5
70,1.8708,16,0.4276,20,103,2.7528,1,4
66,1.7561,16,0.4257,22,108,2.8736,2,5
79,2.102,18,0.4789,23,100,2.6608,1,6
39,1.4012,12,0.4311,13,66,2.3713,2,11
38,1.3653,8,0.2874,16,54,1.9401,1,1
